,product_id,hs_product_code,hs_product_name_short_en,level,parent_id
64,152,53,Other vegetable textile fibres,2digit,0.0
65,153,54,Man-made filaments,2digit,0.0
66,154,55,Man-made staple fibres,2digit,0.0
67,155,56,"Wadding, felt and nonwovens",2digit,0.0
68,156,57,Carpets,2digit,0.0
69,157,58,Special woven fabrics,2digit,0.0
70,158,59,"Impregnated, coated or laminated textile fabrics",2digit,0.0
71,159,60,Knitted fabrics,2digit,0.0
72,160,61,"Apparel, knit",2digit,0.0
73,161,62,"Apparel, not knit",2digit,0.0
74,162,63,Other made up textile articles,2digit,0.0
75,163,64,Footwear,2digit,0.0
76,164,65,Headgear,2digit,0.0
77,165,66,Umbrellas and walking-sticks,2digit,0.0
78,166,67,Feathers and down,2digit,0.0
79,167,68,"Articles of stone, plaster, cement, etc.",2digit,2.0
80,168,69,Ceramic products,2digit,2.0
81,169,70,Glass and glassware,2digit,2.0
82,170,71,Precious metals and stones,2digit,2.0
83,171,72,Iron and steel,2digit,4.0
84,172,73,Articles of iron or steel,2digit,4.0
85,173,74,Copper,2digit,4.0
86,174,75,Nickel,2digit,4.0
87,175,76,Aluminium,2digit,4.0
88,176,78,Lead,2digit,4.0
89,177,79,Zinc,2digit,4.0
90,178,80,Tin,2digit,4.0
91,179,81,Other base metals,2digit,4.0
92,180,82,Metal tools and tableware,2digit,4.0
93,181,83,Miscellaneous articles of base metal,2digit,4.0
94,182,84,Industrial Machinery,2digit,7.0
95,183,85,Electrical machinery and equipment,2digit,8.0
96,184,86,Trains,2digit,6.0
97,185,87,Vehicles,2digit,6.0
98,186,88,Aircraft,2digit,6.0
99,187,89,Ships,2digit,6.0
100,188,90,"Apparatuses (optical, medical, etc.)",2digit,7.0
101,189,91,Clocks,2digit,7.0
102,190,92,Musical instruments,2digit,7.0
103,191,93,Arms and ammunition,2digit,7.0
104,192,94,Furniture,2digit,0.0
105,193,95,Toys,2digit,7.0
106,194,96,Miscellaneous manufactured articles,2digit,7.0
107,195,97,Art,2digit,0.0
108,196,99,Other,2digit,9.0
109,400,unspecified,Unspecified,2digit,10.0
110,401,travel,Travel and tourism,2digit,10.0
111,402,transport,Transport,2digit,10.0
112,403,ict,ICT,2digit,10.0
113,404,financial,Insurance and finance,2digit,10.0
114,650,0101,Horses,4digit,100.0
115,651,0102,Bovine,4digit,100.0
116,652,0103,Swine,4digit,100.0
117,653,0104,Sheep,4digit,100.0
118,654,0105,Fowl,4digit,100.0
119,655,0106,Other live animals,4digit,100.0
120,656,0201,Beef,4digit,101.0
121,657,0202,Beef (frozen),4digit,101.0
122,658,0203,Pork,4digit,101.0
123,659,0204,Lamb,4digit,101.0
124,660,0205,Horse meat,4digit,101.0
125,661,0206,Edible offal,4digit,101.0
126,662,0207,Poultry,4digit,101.0
127,663,0208,Other meat,4digit,101.0
128,664,0209,Pig and poultry fat,4digit,101.0
129,665,0210,Preserved meat,4digit,101.0
130,666,0301,Live Fish,4digit,102.0
131,667,0302,"Fish, excluding fillets",4digit,102.0
132,668,0303,"Frozen fish, excluding fillets",4digit,102.0
133,669,0304,Fish fillets,4digit,102.0
134,670,0305,Preserved fish,4digit,102.0
135,671,0306,Crustaceans,4digit,102.0
136,672,0307,Molluscs,4digit,102.0
137,673,0401,Milk,4digit,103.0
138,674,0402,"Milk, concentrated",4digit,103.0
139,675,0403,Fermented milk products,4digit,103.0
140,676,0404,Whey,4digit,103.0
141,677,0405,Butter,4digit,103.0
142,678,0406,Cheese,4digit,103.0
143,679,0407,"Eggs, in shell",4digit,103.0
144,680,0408,Egg yolks,4digit,103.0
145,681,0409,Honey,4digit,103.0
146,682,0410,"Edible animal products, n.e.c.",4digit,103.0
147,683,0501,"Human hair, unworked",4digit,104.0
148,684,0502,Brushmaking hair,4digit,104.0
149,685,0503,Horsehair,4digit,104.0
150,686,0504,"Animal guts, except fish",4digit,104.0
151,687,0505,Feathers and down,4digit,104.0
152,688,0506,"Bones, simply prepared",4digit,104.0
153,689,0507,Whalebone & horns,4digit,104.0
154,690,0508,Coral and shells,4digit,104.0
155,691,0509,Sponges of animal origin,4digit,104.0
156,692,0510,Animal products used in pharmaceuticals,4digit,104.0
157,693,0511,Animal products n.e.c.,4digit,104.0
158,694,0601,Flower bulbs,4digit,105.0
159,695,0602,Other live plants,4digit,105.0
160,696,0603,Cut flowers,4digit,105.0
161,697,0604,Other parts of plants,4digit,105.0
162,698,0701,Potatoes,4digit,106.0
163,699,0702,Tomatoes,4digit,106.0
164,700,0703,"Onions, shallots, garlic",4digit,106.0
165,701,0704,"Cabbages, cauliflowers, broccoli",4digit,106.0
166,702,0705,Lettuce,4digit,106.0
167,703,0706,Carrots & turnips,4digit,106.0
168,704,0707,Cucumbers,4digit,106.0
169,705,0708,Legumes,4digit,106.0
170,706,0709,Other vegetables,4digit,106.0
171,707,0710,Frozen vegetables,4digit,106.0
172,708,0711,"Vegetables, provisionally preserved",4digit,106.0
173,709,0712,"Vegetables, dried",4digit,106.0
174,710,0713,"Legumes, dried",4digit,106.0
175,711,0714,Tubers,4digit,106.0
176,712,0801,Cashew nuts & coconuts,4digit,107.0
177,713,0802,Other nuts,4digit,107.0
178,714,0803,Bananas and plantains,4digit,107.0
179,715,0804,"Avocados, pineapples, mangos, etc.",4digit,107.0
180,716,0805,Citrus fruit,4digit,107.0
181,717,0806,Grapes,4digit,107.0
182,718,0807,Melons and papayas,4digit,107.0
183,719,0808,Apples & pears,4digit,107.0
184,720,0809,Peaches & cherries,4digit,107.0
185,721,0810,Other fresh fruit,4digit,107.0
